"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"Posing for Portrait Photography","A Head-to-toe Guide","Jeff Smith","Photography","http://books.google.com/books/content?id=CzPBwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Jeff Smith teaches surefire techniques for achieving flattering results, detailing the principles of posing the entire body - head, shoulders, arms, hands, bust, waist, hips, thighs and feet. With an emphasis on creating images that will sell themselves, readers will learn to correct common figure problems and design poses that look natural, crafting images that clients are sure to love.","2004","3.38","124","Jeff Smith teaches surefire techniques for achieving flattering results, detailing the principles of posing the entire body - head, shoulders, arms, hands, bust, waist, hips, thighs and feet. With an "
"Douglas Adams's Starship Titanic","A Novel","Terry Jones","Fiction","http://books.google.com/books/content?id=CzV8djGjTx8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a remote, little-known planet called Earth. Reprint.","1998","3.6","256","Seconds after its initial launch, Starship Titanic undergoes SMEF (Spontaneous Massive Existence Failure) and vanishes, only to mysteriously turn up at the home of Dan and Lucy Gibson, residents of a "
"The Return of the Shadow","The History of The Lord of the Rings, Part One","John Ronald Reuel Tolkien;Christopher Tolkien","Fiction","http://books.google.com/books/content?id=CzXSh4NhOy4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","In this sixth volume of The History of Middle-earth the story reaches The Lord of the Rings. In The Return of the Shadow (an abandoned title for the first volume) Christopher Tolkien describes, with full citation of the earliest notes, outline plans, and narrative drafts, the intricate evolution of The Fellowship of the Ring and the gradual emergence of the conceptions that transformed what J.R.R. Tolkien for long believed would be a far shorter book, 'a sequel to The Hobbit'. The enlargement of Bilbo's 'magic ring' into the supremely potent and dangerous Ruling Ring of the Dark Lord is traced and the precise moment is seen when, in an astonishing and unforeseen leap in the earliest narrative, a Black Rider first rode into the Shire, his significance still unknown. The character of the hobbit called Trotter (afterwards Strider or Aragorn) is developed while his indentity remains an absolute puzzle, and the suspicion only very slowly becomes certainty that he must after all be a Man. The hobbits, Frodo's companions, undergo intricate permutations of name and personality, and other major figures appear in strange modes: a sinister Treebeard, in league with the Enemy, a ferocious and malevolent Farmer Maggot. The story in this book ends at the point where J.R.R. Tolkien halted in the story for a long time, as the Company of the Ring, still lacking Legolas and Gimli, stood before the tomb of Balin in the Mines of Moria. The Return of the Shadow is illustrated with reproductions of the first maps and notable pages from the earliest manuscripts.","2000","4.02","512","In this sixth volume of The History of Middle-earth the story reaches The Lord of the Rings. In The Return of the Shadow (an abandoned title for the first volume) Christopher Tolkien describes, with f"
"Immigrant Acts","On Asian American Cultural Politics","Lisa Lowe","Social Science","http://books.google.com/books/content?id=CZXtZ8lFepsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In Immigrant Acts, Lisa Lowe argues that understanding Asian immigration to the United States is fundamental to understanding the racialized economic and political foundations of the nation. Lowe discusses the contradictions whereby Asians have been included in the workplaces and markets of the U.S. nation-state, yet, through exclusion laws and bars from citizenship, have been distanced from the terrain of national culture. Lowe argues that a national memory haunts the conception of Asian American, persisting beyond the repeal of individual laws and sustained by U.S. wars in Asia, in which the Asian is seen as the perpetual immigrant, as the â€œforeigner-within.â€ In Immigrant Acts, she argues that rather than attesting to the absorption of cultural difference into the universality of the national political sphere, the Asian immigrantâ€”at odds with the cultural, racial, and linguistic forms of the nationâ€”displaces the temporality of assimilation. Distance from the American national culture constitutes Asian American culture as an alternative site that produces cultural forms materially and aesthetically in contradiction with the institutions of citizenship and national identity. Rather than a sign of a â€œfailedâ€ integration of Asians into the American cultural sphere, this critique preserves and opens up different possibilities for political practice and coalition across racial and national borders. In this uniquely interdisciplinary study, Lowe examines the historical, political, cultural, and aesthetic meanings of immigration in relation to Asian Americans. Extending the range of Asian American critique, Immigrant Acts will interest readers concerned with race and ethnicity in the United States, American cultures, immigration, and transnationalism.","1996","4","272","In Immigrant Acts, Lisa Lowe argues that understanding Asian immigration to the United States is fundamental to understanding the racialized economic and political foundations of the nation. Lowe disc"
"Whoreson","The Story of a Ghetto Pimp","Donald Goines","Fiction","http://books.google.com/books/content?id=D__PpFsJLvoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The gripping story of Whoreson James, the son of a beautiful black prostitute and an unknown john. Corrupted by the violent Ghetto world, at the age of sixteen he is a fully fledged pimp: cold blooded and ruthless. A startling insight into the mean streets of the tough inner city by America's number one author of the genre.","1972","4.33","320","The gripping story of Whoreson James, the son of a beautiful black prostitute and an unknown john. Corrupted by the violent Ghetto world, at the age of sixteen he is a fully fledged pimp: cold blooded"
"Poems Between Women","Four Centuries of Love, Romantic Friendship, and Desire","Emma Donoghue","Poetry","http://books.google.com/books/content?id=d_1dqrZtllwC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The collection Poems Between Women explores many facets of female-female relationships in poems not only about love or affection between or inspired by women but also about the moments that complicate and call into question the nature of sexuality and intimacy between women. Including women married and single, young and old, lesbian, bisexual, and heterosexual, the anthology covers historical development and changing mores through the seventeenth century, after the Restoration of Charles II, a time of relative freedom for women; the eighteenth century, when the cult of romantic friendship reached its peak; the nineteenth century, when women writers wrote about issues of same-sex desire indirectly and explored complex issues such as death in tones of weariness and resignation; and the twentieth century, when poets began to engage in more overt explorations of women's bodies, sensuality, and lovemaking. Emma Donoghue's introduction deftly guides readers into the rich tradition of women's poetry in English, exploring the relationships between poets and their muses and poets and their cultures. Poems Between Women is testimony not only to the recurring theme of the unique bonds among women but also to the universality of love, friendship, and creativity.","1999","3.86","256","The collection Poems Between Women explores many facets of female-female relationships in poems not only about love or affection between or inspired by women but also about the moments that complicate"
"The Last of the Really Great Whangdoodles","","Julie Andrews Edwards","Juvenile Fiction","http://books.google.com/books/content?id=D-iftWFTCcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The Whangdoodle was once the wisest, the kindest, and the most extraordinary creature in the world. Then he disappeared and created a wonderful land for himself and all the other remarkable animals -- the ten-legged Sidewinders, the little furry Flukes, the friendly Whiffle Bird, and the treacherous, ""oily"" Prock. It was an almost perfect place where the last of the really great Whangdoodles could rule his kingdom with ""peace, love and a sense of fun""-- apart from and forgotten by people. But not completely forgotten. Professor Savant believed in the Whangdoodle. And when he told the three Potter children of his search for the spectacular creature, Lindy, Tom, and Ben were eager to reach Whangdoodleland. With the Professor's help, they discovered the secret way. But waiting for them was the scheming Prock, who would use almost any means to keep them away from his beloved king. Only by skill and determination were the four travelers able to discover the last of the really great Whangdoodles and grant him his heart's desire. Julie Andrews Edwards, star of stage and screen, has written a unique and beloved story that has become a modern classic. The Last of the Really Great Whangdoodles is sure to continue to delight readers everywhere. This edition includes a new foreword by the author.","1996","4.25","209","The Whangdoodle was once the wisest, the kindest, and the most extraordinary creature in the world. Then he disappeared and created a wonderful land for himself and all the other remarkable animals --"
"×–×Ÿ ×•××•×ž× ×•×ª ×”××•×©×¨","","Chris Prentiss","Philosophy","http://books.google.com/books/content?id=d-MELwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The gentle wisdom of this resource explains how to invite magnificent experiences into one's life and create a philosophy that is sustainable through anything.","2006","4.04","145","The gentle wisdom of this resource explains how to invite magnificent experiences into one's life and create a philosophy that is sustainable through anything."
"The Autograph Man","","Zadie Smith","Fiction","http://books.google.com/books/content?id=d-PiHs4TafAC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Alex-Li Tandem sells autographs. He hunts for names on paper in a huge network of desire, collecting them, selling them and occasionally faking them; offering people a little piece of fame. To him, enlightenment is some part of himself that cannot be signed, celebrated or sold.","2003","3.15","420","Alex-Li Tandem sells autographs. He hunts for names on paper in a huge network of desire, collecting them, selling them and occasionally faking them; offering people a little piece of fame. To him, en"
"Thicker Than Water","","P. J. Parrish","Fiction","http://books.google.com/books/content?id=d03__C_qPLoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Louis Kincaid races to find the truth surrounding a series of vicious killings that bear resemblance to a twenty-year-old rape and murder case, for which the man responsible was just released from prison.","2003","4.09","380","Louis Kincaid races to find the truth surrounding a series of vicious killings that bear resemblance to a twenty-year-old rape and murder case, for which the man responsible was just released from pri"
"Dates From Hell","","Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland","Fiction","http://books.google.com/books/content?id=D07pnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","She thought her date was out of this world. Actually, he was not of this world . . . We've all been on bad dates, nightmare dates, dreadful experiences that turned out to be uniquely memorable in the very worst way. But at least our partners for these detestable evenings were more or less . . . human! Now Kim Harrison, Lynsay Sands, Kelley Armstrong, and Lori Handeland -- four of the very best writers currently exploring the dangerous seduction of the supernatural -- offer up dating disasters (and unexpected delights) of a completely different sort: dark, wicked, paranormally sensual assignations with werewolves, demon lovers, and the romantically challenged undead. Sexy, witty, chilling, and altogether remarkable, here is proof positive that some love matches are made someplace other than heaven.","2006","3.78","416","She thought her date was out of this world. Actually, he was not of this world . . . We've all been on bad dates, nightmare dates, dreadful experiences that turned out to be uniquely memorable in the "
"You Bright and Risen Angels","A Cartoon","William T. Vollmann","Fiction","http://books.google.com/books/content?id=d0buAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","This comic and surreal novel about the beastliness and pain in the world focuses on the stories of assorted young American misfits, reactionaries and revolutionaries, young lovers, and raging old tyrants","1988","4.08","635","This comic and surreal novel about the beastliness and pain in the world focuses on the stories of assorted young American misfits, reactionaries and revolutionaries, young lovers, and raging old tyra"
"Thorn in Her Side","","Jane B. Mason;Sarah Hines-Stephens","Juvenile Fiction","http://books.google.com/books/content?id=d0lQGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Briar Rose lands the role of Princess Perfecta in the school play and Nettle, who plays opposite Rose, seems almost too perfect as the evil fairy.","2006","3.87","144","Briar Rose lands the role of Princess Perfecta in the school play and Nettle, who plays opposite Rose, seems almost too perfect as the evil fairy."
"A Crown of Swords","Book Seven of 'The Wheel of Time'","Robert Jordan","Fiction","http://books.google.com/books/content?id=d0lWqpVm9YkC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.","1997","4.03","880","Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Whe"
"Hard Eight","","Janet Evanovich","Bail bond agents","http://books.google.com/books/content?id=D0t0QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","When Stephanie Plum is hired to find a missing child, she begins to wonder if she is working on the right side of the law when events turn suspicious.","2003","4.17","339","When Stephanie Plum is hired to find a missing child, she begins to wonder if she is working on the right side of the law when events turn suspicious."
"The Transition of H.P. Lovecraft","The Road to Madness","Howard Phillips Lovecraft","Fiction","http://books.google.com/books/content?id=d1aq550uCbQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A collection of horror tales spanning the author's career includes ""The Street,"" ""The Lurking Fear,"" ""Dagon,"" ""The Evil Clergyman,"" and ""Cool Air""","1996","4.3","379","A collection of horror tales spanning the author's career includes ""The Street,"" ""The Lurking Fear,"" ""Dagon,"" ""The Evil Clergyman,"" and ""Cool Air"""
"Three Complete Novels","","Michael Crichton","Fiction","http://books.google.com/books/content?id=d1bGOAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Three classic scientific suspense novels, Andromeda Strain, The Terminal Man, and The Great Train Robbery, demonstrate what made this master of the potboiling thriller the best-selling success that he is today.","1993","4.06","688","Three classic scientific suspense novels, Andromeda Strain, The Terminal Man, and The Great Train Robbery, demonstrate what made this master of the potboiling thriller the best-selling success that he"
"The Wit and Wisdom of Mark Twain","A Book of Quotations","Mark Twain","Literary Criticism","http://books.google.com/books/content?id=D1iMCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","An anthology of wit and wisdom by Mark Twain collects quotations on a wide range of subjects, including life, love, history, culture, travel, and politics.","1998","4.2","64","An anthology of wit and wisdom by Mark Twain collects quotations on a wide range of subjects, including life, love, history, culture, travel, and politics."
"Cuba 15","","Nancy Osa","Juvenile Fiction","http://books.google.com/books/content?id=D1ObABVE20EC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Violet Paz, a Chicago high school student, reluctantly prepares for her upcoming ""quince,"" a Spanish nickname for the celebration of an Hispanic girl's fifteenth birthday.","2005","3.45","304","Violet Paz, a Chicago high school student, reluctantly prepares for her upcoming ""quince,"" a Spanish nickname for the celebration of an Hispanic girl's fifteenth birthday."
"Medieval Philosophy : A New History of Western Philosophy, Volume 2","A New History of Western Philosophy","Anthony Kenny","Philosophy","http://books.google.com/books/content?id=d1wa8MZqFaMC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Sir Anthony Kenny continues his magisterial new history of Western philosophy with a fascinating guide through more than a millennium of thought from 400 AD onwards, charting the story of philosophy from the founders of Christian and Islamic thought through to the Renaissance. The middle ages saw a great flourishing of philosophy, and the intellectual endeavour of the era reaches its climax in the thirteenth and fourteenth centuries, with the systems of such great thinkers as Thomas Aquinas and John Duns Scotus. Specially written for a broad popular readership, but serious and deep enough to offer a genuine understanding of the great philosophers, Kenny's lucid and stimulating history will become the definitive work for anyone interested in the people and ideas that shaped the course of Western thought. - ;Sir Anthony Kenny continues his magisterial new history of Western philosophy with a fascinating guide through more than a millennium of thought from 400 AD onwards, charting the story of philosophy from the founders of Christian and Islamic thought through to the Renaissance.The middle ages saw a great flourishing of philosophy, and the intellectual endeavour of the era reaches its climax in the thirteenth and fourteenth centuries, with the systems of the great schoolmen such as Thomas Aquinas and John Duns Scotus. Specially written for a broad popular readership, but serious and deep enough to offer a genuine understanding of the great philosophers, Kenny's lucid and stimulating history will become the definitive work for anyone interested in the people and ideas that shaped the course of Western thought. - ;from the reviews of the preceding volume..... This wonderful book . . . is not only an authoritative guide to the history of philosophy but also a compelling introduction to every major area of philosophical inquiry. . . . Kennys prose is exceptionally clear . . . He conveys his rich subject matter with a light touch of which only the greatest of writers are capable. . . . This, combined with his breadth and depth of learning and philosophical sophistication, make reading this book hugely rewarding. It is also worth mentioning that the book is beautifully illustrated . . . One is left eager for subsequent volumes and convinced that the intellectual cosmos is, indeed, boundlessly rich. - James Ladyman, Times Higher Education Supplement","2005","3.85","352","Sir Anthony Kenny continues his magisterial new history of Western philosophy with a fascinating guide through more than a millennium of thought from 400 AD onwards, charting the story of philosophy f"
"The Cave","","Robert Penn Warren","Fiction","http://books.google.com/books/content?id=D1Z5Ks95UlIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In his sixth novel, The Cave (1959), Robert Penn Warren tells the story of a young man trapped in a cave in fictional Johntown, Tennessee. His predicament becomes the center of national attention as television cameras, promoters, and newscasters converge on the small town to exploit the rescue attempts and the thousands of spectators gathered at the mouth of the cave.","1959","3.73","424","In his sixth novel, The Cave (1959), Robert Penn Warren tells the story of a young man trapped in a cave in fictional Johntown, Tennessee. His predicament becomes the center of national attention as t"
"Escape from Freedom","","Erich Fromm","Political Science","http://books.google.com/books/content?id=d2g8L1sLykwC&printsec=frontcover&img=1&zoom=1&source=gbs_api","The author analyzes what he considers to be contemporary man's fear of positive freedom and willingness to submit to totalitarianism.","1994","4.24","301","The author analyzes what he considers to be contemporary man's fear of positive freedom and willingness to submit to totalitarianism."
"Pygmalion","","George Bernard Shaw","Literary Criticism","http://books.google.com/books/content?id=D2jJuoQ-UhoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Professor Higgins succeeds in transforming an unkempt London flower girl into a society belle.","2003","3.9","122","Professor Higgins succeeds in transforming an unkempt London flower girl into a society belle."
"Three Complete Novels","","Sandra Brown","Fiction","http://books.google.com/books/content?id=d2r6jdej-XEC&printsec=frontcover&img=1&zoom=1&source=gbs_api","1. Morror Image 2. Best Kept Secrets 3. Slow Heat In Heaven.","1992","4.21","784","1. Morror Image 2. Best Kept Secrets 3. Slow Heat In Heaven."
"The Tale of The Flopsy Bunnies","","Beatrix Potter","Juvenile Nonfiction","http://books.google.com/books/content?id=D2uQtkxjD9UC&printsec=frontcover&img=1&zoom=1&source=gbs_api","This original, authorised version has been lovingly recreated electronically for the first time, with reproductions of Potter's unmistakeable artwork optimised for use on colour devices such as the iPad. When the cupboard is bare at the Flopsy Bunny's burrow, the family all have to go in search of food. They soon find some old lettuces on Mr McGregor's rubbish heap, but who can imagine the horrors that await them as they enjoy a nap after lunch! Peter Rabbit and Benjamin Bunny are two of Beatrix Potter's most popular characters and they are brought together in this exciting tale of danger and friendship. The Tale of The Flopsy Bunnies is number ten in Beatrix Potter's series of 23 little books, the titles of which are as follows: 1 The Tale of Peter Rabbit 2 The Tale of Squirrel Nutkin 3 The Tailor of Gloucester 4 The Tale of Benjamin Bunny 5 The Tale of Two Bad Mice 6 The Tale of Mrs. Tiggy-Winkle 7 The Tale of Mr. Jeremy Fisher 8 The Tale of Tom Kitten 9 The Tale of Jemima Puddle-Duck 10 The Tale of the Flopsy Bunnies 11 The Tale of Mrs. Tittlemouse 12 The Tale of Timmy Tiptoes 13 The Tale of Johnny Town-Mouse 14 The Tale of Mr. Tod 15 The Tale of Pigling Bland 16 The Tale of Samuel Whiskers 17 The Tale of The Pie and the Patty-Pan 18 The Tale of Ginger and Pickles 19 The Tale of Little Pig Robinson 20 The Story of a Fierce Bad Rabbit 21 The Story of Miss Moppet 22 Appley Dapply's Nursery Rhymes 23 Cecily Parsley's Nursery Rhymes","2010","4.19","58","This original, authorised version has been lovingly recreated electronically for the first time, with reproductions of Potter's unmistakeable artwork optimised for use on colour devices such as the iP"
"Identity","A Novel","Milan Kundera","Fiction","http://books.google.com/books/content?id=D30ExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. That also happens with couples -- indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation -- and the vague sense of panic it inspires -- the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.","1998","3.68","176","Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased"
"Deadlock","","James Scott Bell","Fiction","http://books.google.com/books/content?id=d3aFumJZHiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Nearly losing her life in a car accident, U.S. Supreme Court justice Millicent turns to her new pastor for guidance and experiences a profound religious conversion that causes her to rethink her voting choices and become subject to impeachment. Original.","2002","3.95","319","Nearly losing her life in a car accident, U.S. Supreme Court justice Millicent turns to her new pastor for guidance and experiences a profound religious conversion that causes her to rethink her votin"
"Metamorphosis","","Ovid;David Raeburn","Fiction","http://books.google.com/books/content?id=D3McXPPkPK8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","A new translation in hexameter verse of Ovid's narrative poem embraces more than two hundred mythical tales linked by the theme of transformation, incorporating many famed myths and legends of ancient Greece and Rome.","2004","4.05","723","A new translation in hexameter verse of Ovid's narrative poem embraces more than two hundred mythical tales linked by the theme of transformation, incorporating many famed myths and legends of ancient"
"South of the Border, West of the Sun","","Haruki Murakami","Domestic fiction","http://books.google.com/books/content?id=D3pTwEWLjj8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Growing up in the suburbs in post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoons listening to her father's record collection. But when his family moved away, the two lost touch. Now Hajime is in his thirties. After a decade of drifting he has found happiness with his loving wife and two daughters, and success running a jazz bar. Then Shimamoto reappears. She is beautiful, intense, enveloped in mystery. Hajime is catapulted into the past, putting at risk all he has in the present.","2003","3.87","190","Growing up in the suburbs in post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoo"
"Money to Burn","","Ricardo Piglia;Amanda Hopkinson","Fiction","http://books.google.com/books/content?id=d40p2M2ikJ8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","A prize-winning novel from one of Argentina's most important contemporary authors, based on a true crime","2004","3.75","209","A prize-winning novel from one of Argentina's most important contemporary authors, based on a true crime"
"Shattered Bonds","The Color of Child Welfare","Dorothy E. Roberts","Political Science","http://books.google.com/books/content?id=D47-Km6fyNkC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Identifies a disproportionate representation of African-American children in the U.S. foster care system, noting racial disparities and political policies that negatively impact black communities, contribute to child poverty rates, and adversely separate families. Reprint. 15,000 first printing.","2002","4.2","352","Identifies a disproportionate representation of African-American children in the U.S. foster care system, noting racial disparities and political policies that negatively impact black communities, con"
"On Wings of Eagles","","Ken Follett","History","http://books.google.com/books/content?id=D4g-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Recreates the harrowing, real-life adventure of the successful prison break engineered by Col. Bull Simons, a World War II and Vietnam commando, who rescued two Texans imprisoned in a Teheran jail on behalf of Ross Perot. Reprint.","2004","3.93","416","Recreates the harrowing, real-life adventure of the successful prison break engineered by Col. Bull Simons, a World War II and Vietnam commando, who rescued two Texans imprisoned in a Teheran jail on "
"The Professor and the Madman","A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary","Simon Winchester","Biography & Autobiography","http://books.google.com/books/content?id=D4KblwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of the Oxford English Dictionary -- and literary history. The compilation of the OED began in 1857, it was one of the most ambitious projects ever undertaken. As definitions were collected, the overseeing committee, led by Professor James Murray, discovered that one man, Dr. W. C. Minor, had submitted more than ten thousand. When the committee insisted on honoring him, a shocking truth came to light: Dr. Minor, an American Civil War veteran, was also an inmate at an asylum for the criminally insane. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.","2005","3.84","242","The Professor and the Madman, masterfully researched and eloquently written, is an extraordinary tale of madness, genius, and the incredible obsessions of two remarkable men that led to the making of "
"Getting Things Done","The Art of Stress-Free Productivity","David Allen","Business & Economics","http://books.google.com/books/content?id=D4MD-XKAbD4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","ALLEN/GETTING THINGS DONE","2001","3.99","267","ALLEN/GETTING THINGS DONE"
"Willful Creatures","","Aimee Bender","Fiction","http://books.google.com/books/content?id=d5k3mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A collection of all original stories presents tales of love, heartbreak, sex, adversity, and potato babies.","2006","3.99","208","A collection of all original stories presents tales of love, heartbreak, sex, adversity, and potato babies."
"U.S.S. Seawolf","","Patrick Robinson","Fiction","http://books.google.com/books/content?id=d63jTKM6iGcC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Armed with stolen U.S. military technology, the Chinese are producing a frightening new breed of weaponry,led by the ICBM submarine Xia III -- a vessel that just might be able to launch a nuclear warhead across the Pacific Ocean and take out an American West Coast city. National Security Adviser Admiral Arnold Morgan can't let that happen, and he dispatches the most stealthy hunter-killer submarine in the U.S. fleet, the 9,000-ton ultrasecret Seawolf, deep into the dark, forbidden waters of the South China Sea. But then the unthinkable happens: Seawolf, collides with a Chinese destroyer and falls into enemy hands. A team of cunning Navy SEALs -- the biggest Special Forces assault group assembled since Vietnam -- is sent in to free the captive Seawolf, crew and bring them home. The American Eagle confronts the Chinese Dragon with the balance of world power on the line. Failure is not an option...","2001","3.94","496","Armed with stolen U.S. military technology, the Chinese are producing a frightening new breed of weaponry,led by the ICBM submarine Xia III -- a vessel that just might be able to launch a nuclear warh"
"The Family Idiot","Gustave Flaubert, 1821-1857","Jean-Paul Sartre","Biography & Autobiography","http://books.google.com/books/content?id=D6p-mttXlAEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","With this volume, the University of Chicago Press completes its translation of a work that is indispensable not only to serious readers of Flaubert but to anyone interested in the last major contribution by one of the twentieth century's greatest thinkers. That Sartre's study of Flaubert, The Family Idiot, is a towering achievement in intellectual history has never been disputed. Yet critics have argued about the precise nature of this novel or biography or ""criticism-fiction"" which is the summation of Sartre's philosophical, social, and literary thought. In the preface, Sartre writes: ""The Family Idiot is the sequel to Search for a Method. The subject: what, at this point in time, can we know about a man? It seemed to me that this question could only be answered by studying a specific case."" Sartre discusses Flaubert's personal development, his relationship to his family, his decision to become a writer, and the psychosomatic crisis or ""conversion"" from his father's domination to the freedom of his art. Sartre blends psychoanalysis with a sociological study of the ideology of the period, the crisis in literature, and Flaubert's influence on the future of literature. While Sartre never wrote the final volume he envisioned for this vast project, the existing volumes constitute in themselves a unified workâ€”one that John Sturrock, writing in the Observer, called ""a shatteringly fertile, digressive and ruthless interpretation of these few cardinal years in Flaubert's life."" ""A virtuoso perfomance. . . . For all that this book does to make one reconsider his life, The Family Idiot is less a case study of Flaubert than it is a final installment of Sartre's mythology. . . . The translator, Carol Cosman, has acquitted herself brilliantly.""â€”Frederick Brown, New York Review of Books ""A splendid translation by Carol Cosman. . . . Sartre called The Family Idiot a 'true novel,' and it does tell a story and eventually reach a shattering climax. The work can be described most simply as a dialectic, which shifts between two seemingly alternative interpretations of Flaubert's destiny: a psychoanalytic one, centered on his family and on his childhood, and a Marxist one, whose guiding themes are the status of the artist in Flaubert's period and the historical and ideological contradictions faced by his social class, the bourgeoisie.""â€”Fredric Jameson, New York Times Book Review Jean-Paul Sartre (1906-1980) was offered, but declined, the Nobel Prize for literature in 1964. His many works of fiction, drama, and philosophy include the monumental study of Flaubert, The Family Idiot, and The Freud Scenario, both published in translation by the University of Chicago Press.","1981","3.8","632","With this volume, the University of Chicago Press completes its translation of a work that is indispensable not only to serious readers of Flaubert but to anyone interested in the last major contribut"
"Haunted","","Kelley Armstrong","Fiction","http://books.google.com/books/content?id=d6t2mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Eve Levine, a deceased witch roaming the afterworld, is summoned by the Fates to help capture the Nix, an evil demi-demon who inhabits the bodies of would-be killers and compels them to complete their lethal acts.","2005","4.09","495","Eve Levine, a deceased witch roaming the afterworld, is summoned by the Fates to help capture the Nix, an evil demi-demon who inhabits the bodies of would-be killers and compels them to complete their"
"Saturday","A Novel","Ian McEwan","Fiction","http://books.google.com/books/content?id=D70DmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","A successful, happily married neurosurgeon, Henry Perowne is drawn into a confrontation with Baxter, a small-time thug, following a minor motor vehicle accident on the way to his regular squash game, an encounter that has savage consequences when Baxter, believing that the doctor has humiliated him, visits the Perowne home that evening during a family reunion. Reader's Guide available. Reprint. 300,000 first printing.","2006","3.63","289","A successful, happily married neurosurgeon, Henry Perowne is drawn into a confrontation with Baxter, a small-time thug, following a minor motor vehicle accident on the way to his regular squash game, "
